"hourly_wage","age","occupation","race","education","sex","hispanic","marital_status","veteran_status","union","pension","citizenship_status","hours_weekly","state","total_income","employer_type","worker_status"
30,45,"Education, Training, And Library","White","Bachelor's degree","Male",0,"Married",0,"No",0,1,10,"California",9000,"Private employer","Part-time"
15,40,"Food Preparation And Serving","Asian or Pacific Islander","High school diploma or equivalent","Female",0,"Married",0,"No",0,1,40,"California",37600,"Private employer","Full-time"
34,30,"Management, Business, Science, And Arts","Two or More Races","Bachelor's degree","Male",0,"Married",0,"No",1,1,40,"California",80775,"Private employer","Part-time"
30.5,30,"Sales And Related","White","Bachelor's degree","Female",0,"Married",0,"No",1,1,40,"California",75002,"Private employer","Part-time"
15,29,"Office And Administrative Support","White","High school diploma or equivalent","Female",1,"Married",0,"No",1,1,40,"California",29000,"Private employer","Full-time"
12.5,40,"Food Preparation And Serving","White","High school diploma or equivalent","Male",1,"Married",0,"No",1,0,35,"California",35000,"Private employer","Full-time"
14,17,NA,"White","High school diploma or equivalent","Male",1,"Single",0,"No",NA,1,40,"California",0,"Private employer","Full-time"
30,51,"Construction","White","Some college, no degree","Male",0,"Married",0,"No",0,1,40,"California",52000,"Private employer","Full-time"
30,48,"Management, Business, Science, And Arts","White","Associate's degree","Female",1,"Married",0,"No",1,1,40,"California",55023,"Private employer","Full-time"
37.85,40,"Computer And Mathematical","White","Bachelor's degree","Female",1,"Married",0,"No",1,1,45,"California",84004,"Government employee","Full-time"
25,43,"Office And Administrative Support","White","Associate's degree","Male",1,"Married",0,"Yes",1,1,60,"California",79272,"Government employee","Full-time"
16,17,NA,"White","High school or less","Female",1,"Single",0,"No",NA,1,15,"California",0,"Private employer","Part-time"
15,50,"Building And Grounds Cleaning And Maintenance","White","High school diploma or equivalent","Male",1,"Divorced",0,"No",0,0,40,"California",31000,"Private employer","Part-time"
17,40,"Office And Administrative Support","White","Associate's degree","Female",1,"Separated",0,"No",0,0,40,"California",32437,"Private employer","Full-time"
65,69,"Office And Administrative Support","White","Bachelor's degree","Female",0,"Married",1,"No",1,1,10,"California",60082,"Private employer","Part-time"
40,43,"Healthcare Practitioners And Technical","Asian or Pacific Islander","Bachelor's degree","Male",0,"Married",1,"No",0,1,40,"California",130470,"Private employer","Full-time"
16,33,"Office And Administrative Support","White","Associate's degree","Male",0,"Single",0,"No",0,1,40,"California",55021,"Government employee","Full-time"
21.5,28,"Personal Care And Service","White","Some college, no degree","Male",0,"Single",0,"No",0,1,40,"California",45000,"Private employer","Full-time"
21,57,"Office And Administrative Support","White","Associate's degree","Female",0,"Divorced",0,"No",0,1,40,"California",38361,"Private employer","Full-time"
20,66,"Construction","Asian or Pacific Islander","Associate's degree","Male",0,"Married",0,"No",1,1,40,"California",38013,"Private employer","Full-time"
38.46,69,"Healthcare Practitioners And Technical","Asian or Pacific Islander","Graduate degree","Female",0,"Married",0,"No",0,1,40,"California",59851,"Private employer","Full-time"
32,52,"Management, Business, Science, And Arts","White","Bachelor's degree","Male",1,"Married",0,"No",0,1,40,"California",98001,"Private employer","Full-time"
55.55,50,"Community And Social Services","White","Graduate degree","Female",1,"Married",0,"Yes",0,1,32,"California",96000,"Private employer","Part-time"
35,39,"Arts, Design, Entertainment, Sports, And Media","White","Bachelor's degree","Female",0,"Divorced",0,"Yes",1,1,40,"California",50459,"Private employer","Full-time"
18,21,"Food Preparation And Serving","White","Some college, no degree","Female",1,"Single",0,"No",0,1,14,"California",32000,"Private employer","Part-time"
15,19,"Food Preparation And Serving","White","Some college, no degree","Male",1,"Single",0,"No",0,1,20,"California",7500,"Private employer","Part-time"
69,36,"Construction","White","Some college, no degree","Male",1,"Single",0,"No",1,1,40,"California",51030,"Private employer","Full-time"
22,31,"Construction","White","Bachelor's degree","Male",1,"Single",0,"No",1,1,40,"California",40232,"Private employer","Part-time"
17,24,"Sales And Related","White","Bachelor's degree","Male",1,"Single",0,"No",1,1,40,"California",35071,"Private employer","Part-time"
21,51,"Office And Administrative Support","White","Bachelor's degree","Female",0,"Married",0,"No",0,0,40,"California",109165,"Private employer","Full-time"
15,23,"Education, Training, And Library","White","Bachelor's degree","Male",0,"Separated",0,"No",0,0,20,"California",54892,"Government employee","Part-time"
17,31,"Business Operations Specialists","Asian or Pacific Islander","Bachelor's degree","Male",0,"Single",0,"No",0,1,40,"California",66012,"Private employer","Full-time"
23,24,"Production","Asian or Pacific Islander","Bachelor's degree","Male",0,"Single",0,"No",0,1,40,"California",40000,"Private employer","Full-time"
20,27,"Office And Administrative Support","Black","Bachelor's degree","Male",0,"Single",0,"No",0,1,40,"California",67002,"Private employer","Full-time"
25.61,53,"Sales And Related","White","High school diploma or equivalent","Female",0,"Married",0,"No",0,1,40,"California",69311,"Private employer","Full-time"
18,55,"Building And Grounds Cleaning And Maintenance","White","Some college, no degree","Female",1,"Divorced",0,"Yes",1,0,35,"California",26610,"Private employer","Full-time"
14,34,"Healthcare Practitioners And Technical","White","Bachelor's degree","Female",0,"Married",0,"Yes",1,1,24,"California",96850,"Private employer","Part-time"
28.75,23,"Legal","White","Bachelor's degree","Male",1,"Single",0,"No",0,1,40,"California",53000,"Private employer","Full-time"
16,21,"Office And Administrative Support","White","Some college, no degree","Male",1,"Single",0,"No",0,1,15,"California",30000,"Private employer","Part-time"
24,51,"Education, Training, And Library","Asian or Pacific Islander","Some college, no degree","Female",0,"Married",0,"Yes",1,1,64,"California",57601,"Private employer","Full-time"
17,23,"Healthcare Practitioners And Technical","Asian or Pacific Islander","Bachelor's degree","Female",0,"Single",0,"Yes",1,1,20,"California",8500,"Private employer","Part-time"
15,19,"Personal Care And Service","White","High school diploma or equivalent","Male",1,"Single",0,"No",0,1,15,"California",103200,"Private employer","Part-time"
15.5,32,"Community And Social Services","White","Bachelor's degree","Female",1,"Divorced",0,"No",1,1,40,"California",30000,"Government employee","Full-time"
15.25,38,NA,"White","High school diploma or equivalent","Female",1,"Separated",0,"No",NA,1,40,"California",0,"Private employer","Full-time"
20,48,"Construction","Native American","High school or less","Male",1,"Divorced",0,"No",0,0,40,"California",40000,"Private employer","Full-time"
20,36,"Sales And Related","White","Some college, no degree","Female",0,"Single",0,"No",0,1,40,"California",66901,"Private employer","Full-time"
34.8,74,"Protective Service","White","High school diploma or equivalent","Male",1,"Married",0,"Yes",1,1,40,"California",114181,"Private employer","Full-time"
26.09,49,"Installation, Maintenance, And Repair","White","Associate's degree","Male",1,"Separated",0,"No",1,1,40,"California",60003,"Private employer","Full-time"
17,20,"Office And Administrative Support","White","Bachelor's degree","Male",1,"Single",0,"No",1,1,25,"California",10002,"Private employer","Part-time"
18,24,"Office And Administrative Support","White","Associate's degree","Female",1,"Single",0,"No",1,1,40,"California",35001,"Private employer","Full-time"
21.8,38,"Office And Administrative Support","White","Some college, no degree","Female",1,"Single",0,"No",1,1,20,"California",40912,"Government employee","Part-time"
25,28,"Construction","Native American","High school diploma or equivalent","Male",1,"Married",0,"No",0,0,35,"California",18000,"Private employer","Full-time"
18.5,65,"Farming, Fishing, And Forestry","White","High school diploma or equivalent","Male",0,"Divorced",0,"No",0,1,40,"California",33540,"Private employer","Full-time"
33,37,"Building And Grounds Cleaning And Maintenance","White","Associate's degree","Male",1,"Married",0,"Yes",1,1,40,"California",65000,"Government employee","Full-time"
28,36,"Office And Administrative Support","White","Some college, no degree","Female",1,"Married",0,"Yes",1,1,40,"California",52000,"Government employee","Full-time"
37.06,42,"Office And Administrative Support","White","Bachelor's degree","Male",0,"Married",0,"Yes",1,1,40,"California",92160,"Government employee","Full-time"
16,20,"Building And Grounds Cleaning And Maintenance","White","High school or less","Male",1,"Single",0,"No",0,0,30,"California",19000,"Private employer","Part-time"
12,25,"Transportation And Material Moving","White","Bachelor's degree","Female",0,"Single",0,"No",0,1,35,"California",30000,"Government employee","Full-time"
43,52,"Office And Administrative Support","Two or More Races","High school diploma or equivalent","Female",0,"Divorced",0,"Yes",0,1,40,"California",103010,"Private employer","Part-time"
35,51,"Office And Administrative Support","Black","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,40,"California",22400,"Private employer","Full-time"
17,28,"Legal","White","Graduate degree","Male",0,"Single",0,"Yes",1,1,10,"California",174300,"Government employee","Part-time"
17,33,"Installation, Maintenance, And Repair","White","Graduate degree","Male",0,"Separated",1,"Yes",0,1,10,"California",68004,"Government employee","Part-time"
17,28,"Education, Training, And Library","White","Graduate degree","Male",0,"Single",0,"Yes",0,1,10,"California",10000,"Government employee","Part-time"
17,28,"Education, Training, And Library","White","Graduate degree","Male",0,"Single",1,"Yes",1,1,10,"California",26601,"Government employee","Part-time"
38.83,33,"Protective Service","White","Some college, no degree","Male",0,"Married",0,"No",1,1,40,"California",72105,"Government employee","Full-time"
31.3,34,"Office And Administrative Support","White","Bachelor's degree","Female",0,"Married",0,"No",1,1,50,"California",60104,"Private employer","Full-time"
40,53,"Architecture And Engineering","White","Bachelor's degree","Male",0,"Married",0,"Yes",1,1,35,"California",98500,"Private employer","Full-time"
44.4,49,"Transportation And Material Moving","White","High school diploma or equivalent","Male",0,"Divorced",0,"Yes",1,1,40,"California",140830,"Private employer","Full-time"
22,31,"Production","White","High school diploma or equivalent","Male",0,"Single",0,"No",1,1,40,"California",60010,"Private employer","Full-time"
21,36,"Management, Business, Science, And Arts","Asian or Pacific Islander","Bachelor's degree","Female",0,"Married",0,"No",0,1,40,"California",80650,"Private employer","Part-time"
32,50,"Management, Business, Science, And Arts","White","Bachelor's degree","Male",0,"Married",0,"No",0,1,40,"California",126071,"Government employee","Part-time"
25,46,"Office And Administrative Support","Asian or Pacific Islander","High school diploma or equivalent","Male",0,"Married",0,"Yes",1,1,40,"California",55770,"Private employer","Full-time"
12,19,"Food Preparation And Serving","White","Some college, no degree","Male",1,"Single",0,"No",0,1,20,"California",24001,"Private employer",NA
96,48,"Healthcare Practitioners And Technical","White","Bachelor's degree","Male",0,"Married",0,"No",1,1,36,"California",191075,"Private employer","Part-time"
96,47,"Healthcare Practitioners And Technical","White","Bachelor's degree","Female",0,"Married",0,"No",1,1,28,"California",126075,"Private employer","Part-time"
35,31,"Building And Grounds Cleaning And Maintenance","White","Bachelor's degree","Male",0,"Single",0,"No",1,1,NA,"California",27013,"Government employee","Part-time"
18,29,NA,"White","Some college, no degree","Female",1,"Divorced",1,"No",NA,1,NA,"California",27600,"Private employer","Part-time"
45,40,"Management, Business, Science, And Arts","White","Graduate degree","Male",0,"Single",0,"No",1,1,50,"California",20000,"Private employer","Full-time"
21,49,"Business Operations Specialists","White","Bachelor's degree","Female",0,"Married",0,"No",1,1,40,"California",46130,"Private employer","Full-time"
19,41,"Office And Administrative Support","Asian or Pacific Islander","Bachelor's degree","Male",0,"Married",0,"No",1,0,NA,"California",41002,"Private employer","Full-time"
25,58,"Office And Administrative Support","White","Some college, no degree","Female",0,"Married",0,"No",1,1,40,"California",53001,"Private employer","Full-time"
17,24,"Healthcare Practitioners And Technical","White","Bachelor's degree","Female",0,"Single",0,"No",1,1,42,"California",45011,"Government employee","Full-time"
18,54,"Personal Care And Service","Black","High school diploma or equivalent","Female",0,"Single",0,"Yes",0,1,40,"California",13000,"Government employee","Full-time"
9,20,"Food Preparation And Serving","Black","High school or less","Female",0,"Single",0,"No",0,1,40,"California",20000,"Private employer","Full-time"
15,56,"Protective Service","Black","High school diploma or equivalent","Male",0,"Divorced",0,"No",0,1,40,"California",62021,"Private employer","Full-time"
17,25,"Office And Administrative Support","Two or More Races","High school diploma or equivalent","Female",1,"Single",0,"No",1,1,40,"California",19645,"Private employer","Full-time"
27.5,28,"Sales And Related","Asian or Pacific Islander","High school diploma or equivalent","Male",0,"Single",0,"No",1,1,40,"California",55976,"Private employer","Full-time"
19.72,28,"Management, Business, Science, And Arts","White","Associate's degree","Female",0,"Married",0,"No",1,0,40,"California",55800,"Private employer","Full-time"
20.21,33,"Community And Social Services","White","Graduate degree","Male",0,"Single",0,"No",1,1,NA,"California",148146,"Government employee","Full-time"
22,28,"Architecture And Engineering","White","Bachelor's degree","Male",0,"Single",0,"No",1,1,40,"California",101403,"Private employer","Part-time"
25,57,"Technicians","Asian or Pacific Islander","Bachelor's degree","Female",0,"Married",0,"No",0,1,40,"California",85000,"Private employer","Full-time"
17,60,NA,"White","Associate's degree","Male",1,"Single",0,"No",NA,1,29,"California",11,"Private employer","Part-time"
29.6,64,"Personal Care And Service","White","Some college, no degree","Male",0,"Married",0,"No",1,1,52,"California",53050,"Private employer","Full-time"
18,56,"Personal Care And Service","Black","Some college, no degree","Male",0,"Divorced",0,"Yes",0,1,57,"California",36001,"Government employee","Full-time"
32.65,65,"Office And Administrative Support","White","High school diploma or equivalent","Male",0,"Married",0,"Yes",1,1,40,"California",191700,"Private employer","Full-time"
21,22,"Personal Care And Service","White","Bachelor's degree","Female",0,"Single",0,"No",0,1,25,"California",14000,"Private employer","Part-time"
22,25,"Arts, Design, Entertainment, Sports, And Media","White","Bachelor's degree","Male",0,"Single",0,"No",1,1,40,"California",42214,"Private employer","Part-time"
61,44,"Business Operations Specialists","White","Bachelor's degree","Female",0,"Married",0,"No",1,1,40,"California",150119,"Private employer","Full-time"
27,29,"Sales And Related","White","Bachelor's degree","Male",0,"Single",0,"Yes",1,1,60,"California",44000,"Private employer","Full-time"
17,45,"Personal Care And Service","Asian or Pacific Islander","High school diploma or equivalent","Female",0,"Married",0,"No",0,1,40,"California",21000,"Government employee","Full-time"
20,76,"Transportation And Material Moving","Asian or Pacific Islander","High school diploma or equivalent","Female",0,"Single",0,"No",0,1,20,"California",61193,"Private employer","Part-time"
72.12,45,"Healthcare Practitioners And Technical","White","Graduate degree","Female",0,"Single",0,"No",1,1,40,"California",277709,"Private employer","Full-time"
14,30,"Office And Administrative Support","White","Bachelor's degree","Female",0,"Single",0,"No",0,1,24,"California",17472,"Government employee","Part-time"
60,63,"Healthcare Practitioners And Technical","Asian or Pacific Islander","Bachelor's degree","Female",0,"Divorced",0,"No",0,1,24,"California",61066,"Private employer","Part-time"
14.75,61,"Healthcare Support","Asian or Pacific Islander","High school diploma or equivalent","Female",0,"Divorced",0,"No",1,1,40,"California",70001,"Private employer","Full-time"
20,30,"Sales And Related","Asian or Pacific Islander","Bachelor's degree","Female",0,"Single",0,"No",0,1,40,"California",40000,"Private employer","Full-time"
90,26,NA,"Asian or Pacific Islander","Graduate degree","Female",0,"Married",0,"Yes",NA,1,40,"California",656,"Private employer","Full-time"
56,47,"Office And Administrative Support","White","Some college, no degree","Male",0,"Single",0,"Yes",0,1,40,"California",140083,"Private employer","Full-time"
69,50,"Construction","White","Some college, no degree","Male",1,"Married",1,"Yes",1,1,40,"California",187946,"Private employer","Part-time"
38.46,69,"Computer And Mathematical","Asian or Pacific Islander","Graduate degree","Female",0,"Single",0,"No",0,1,40,"California",103029,"Private employer","Full-time"
16,26,"Office And Administrative Support","White","Associate's degree","Female",1,"Single",0,"No",0,1,NA,"California",36000,"Government employee","Full-time"
15,24,"Education, Training, And Library","White","Bachelor's degree","Male",1,"Single",0,"No",0,1,20,"California",14000,"Private employer","Part-time"
25,34,"Office And Administrative Support","Asian or Pacific Islander","Associate's degree","Female",0,"Married",0,"No",0,0,20,"California",16001,"Private employer","Part-time"
14.75,60,"Protective Service","Asian or Pacific Islander","High school diploma or equivalent","Female",0,"Single",0,"No",0,1,40,"California",25000,"Private employer","Full-time"
19.66,19,"Transportation And Material Moving","Black","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,40,"California",30000,"Private employer","Full-time"
25,42,"Transportation And Material Moving","White","Some college, no degree","Male",0,"Single",0,"No",0,1,40,"California",47000,"Private employer","Full-time"
23,63,"Office And Administrative Support","White","High school diploma or equivalent","Female",0,"Married",0,"No",0,1,25,"California",55626,"Private employer","Part-time"
72.12,37,"Computer And Mathematical","Asian or Pacific Islander","Graduate degree","Female",0,"Married",0,"No",1,0,40,"California",111075,"Private employer","Full-time"
72.12,51,"Management, Business, Science, And Arts","Asian or Pacific Islander","Bachelor's degree","Male",0,"Married",0,"No",0,1,40,"California",177500,"Private employer","Full-time"
48,49,"Personal Care And Service","White","Bachelor's degree","Female",0,"Married",0,"No",0,1,15,"California",32804,"Private employer","Part-time"
18,19,"Sales And Related","White","High school diploma or equivalent","Female",1,"Single",0,"No",1,1,16,"California",21199,"Private employer","Part-time"
36,39,"Management, Business, Science, And Arts","White","Bachelor's degree","Male",0,"Married",0,"No",0,1,40,"California",74885,"Private employer","Full-time"
30,42,"Computer And Mathematical","Asian or Pacific Islander","Bachelor's degree","Female",0,"Single",0,"No",1,1,40,"California",62972,"Private employer","Part-time"
31.5,25,"Business Operations Specialists","Asian or Pacific Islander","Bachelor's degree","Female",0,"Single",0,"Yes",1,1,40,"California",39398,"Government employee","Full-time"
40,47,"Education, Training, And Library","Asian or Pacific Islander","Bachelor's degree","Female",0,"Married",0,"Yes",1,1,30,"California",67102,"Government employee","Part-time"
30,31,"Management, Business, Science, And Arts","Asian or Pacific Islander","Associate's degree","Male",0,"Single",0,"No",0,1,50,"California",70100,"Private employer","Full-time"
40,30,"Management, Business, Science, And Arts","Asian or Pacific Islander","Bachelor's degree","Female",0,"Single",0,"No",0,1,40,"California",65200,"Private employer","Full-time"
19,42,"Sales And Related","Asian or Pacific Islander","Some college, no degree","Male",0,"Married",0,"No",0,1,40,"California",35001,"Private employer","Full-time"
20,44,"Office And Administrative Support","Asian or Pacific Islander","Some college, no degree","Female",0,"Married",0,"No",0,0,40,"California",38000,"Private employer","Full-time"
30,29,"Life, Physical, And Social Science","White","Graduate degree","Male",0,"Married",0,"Yes",1,1,40,"California",50290,"Government employee","Full-time"
37,35,"Production","White","High school diploma or equivalent","Male",0,"Married",0,"No",1,1,40,"California",125202,"Private employer","Full-time"
17,21,"Food Preparation And Serving","White","Some college, no degree","Female",1,"Separated",0,"No",1,1,15,"California",14000,"Private employer","Part-time"
20,37,"Management, Business, Science, And Arts","White","Some college, no degree","Female",1,"Single",0,"Yes",1,1,40,"California",50001,"Private employer","Full-time"
41.62,25,"Office And Administrative Support","White","Bachelor's degree","Female",0,"Single",0,"Yes",0,1,40,"California",55001,"Private employer","Full-time"
38.75,33,"Technicians","White","High school diploma or equivalent","Male",1,"Married",0,"Yes",1,1,60,"California",75085,"Government employee","Full-time"
15.5,35,NA,"White","High school diploma or equivalent","Female",1,"Married",0,"No",NA,1,8,"California",4,"Government employee","Part-time"
15,42,"Building And Grounds Cleaning And Maintenance","White","High school diploma or equivalent","Male",1,"Married",0,"No",0,1,40,"California",38000,"Private employer","Full-time"
15,22,"Management, Business, Science, And Arts","White","Bachelor's degree","Female",1,"Single",0,"No",0,1,24,"California",34400,"Private employer","Part-time"
16,70,"Personal Care And Service","White","Bachelor's degree","Female",0,"Divorced",0,"Yes",0,1,60,"California",58788,"Private employer","Full-time"
15,37,"Sales And Related","White","High school diploma or equivalent","Female",1,"Married",0,"No",0,0,40,"California",35000,"Private employer","Full-time"
18,39,"Production","White","High school or less","Male",1,"Married",0,"No",0,0,40,"California",40000,"Private employer","Full-time"
18,69,"Sales And Related","White","Bachelor's degree","Female",0,"Married",0,"No",1,1,40,"California",58794,"Private employer","Full-time"
25,29,"Office And Administrative Support","White","Bachelor's degree","Female",0,"Single",0,"No",0,1,40,"California",72110,"Private employer","Full-time"
44.41,67,"Office And Administrative Support","Asian or Pacific Islander","High school diploma or equivalent","Male",0,"Married",0,"Yes",1,1,40,"California",158302,"Private employer","Part-time"
32,29,"Management, Business, Science, And Arts","Asian or Pacific Islander","Bachelor's degree","Female",0,"Single",0,"No",0,1,32,"California",58441,"Private employer","Part-time"
17.5,26,"Office And Administrative Support","White","Associate's degree","Male",1,"Single",0,"No",1,1,25,"California",43900,"Private employer","Part-time"
15,18,"Food Preparation And Serving","White","High school diploma or equivalent","Female",1,"Single",0,"No",0,1,35,"California",9000,"Private employer","Full-time"
15,42,"Management, Business, Science, And Arts","White","High school diploma or equivalent","Female",1,"Separated",0,"No",0,1,35,"California",61038,"Private employer","Full-time"
64,45,"Healthcare Practitioners And Technical","Asian or Pacific Islander","Bachelor's degree","Female",0,"Married",0,"Yes",1,1,40,"California",330002,"Private employer","Full-time"
25,49,"Transportation And Material Moving","White","High school diploma or equivalent","Male",1,"Married",0,"No",0,1,40,"California",46001,"Private employer","Full-time"
17.5,18,"Office And Administrative Support","White","High school diploma or equivalent","Male",1,"Single",0,"No",1,1,35,"California",6000,"Private employer","Full-time"
15,59,"Sales And Related","White","High school diploma or equivalent","Female",0,"Widowed",0,"No",1,1,40,"California",25000,"Private employer","Full-time"
51,39,"Office And Administrative Support","White","High school or less","Female",1,"Married",0,"No",0,1,35,"California",76800,"Private employer","Full-time"
39,39,"Production","White","High school or less","Male",1,"Married",0,"Yes",0,1,40,"California",57200,"Private employer","Full-time"
25,22,"Healthcare Support","White","Some college, no degree","Female",1,"Single",0,"No",0,1,40,"California",31200,"Private employer","Full-time"
22,53,"Office And Administrative Support","Native American","High school diploma or equivalent","Female",1,"Married",0,"Yes",1,1,40,"California",40012,"Private employer","Part-time"
12.5,29,NA,"Two or More Races","Some college, no degree","Male",1,"Single",0,"No",NA,1,24,"California",1500,"Private employer","Part-time"
25,45,"Office And Administrative Support","Native American","High school diploma or equivalent","Male",1,"Divorced",0,"No",1,1,40,"California",46990,"Private employer","Full-time"
20,32,"Sales And Related","Two or More Races","Bachelor's degree","Female",1,"Divorced",0,"No",0,1,40,"California",30000,"Private employer","Full-time"
25,50,"Transportation And Material Moving","White","High school diploma or equivalent","Male",0,"Married",0,"No",1,1,40,"California",79002,"Private employer","Part-time"
9.25,34,NA,"White","High school diploma or equivalent","Female",0,"Married",0,"No",NA,1,NA,"California",0,"Private employer","Part-time"
38,33,"Technicians","White","High school diploma or equivalent","Male",1,"Married",0,"No",0,0,40,"California",105605,"Private employer","Full-time"
32,34,"Healthcare Support","White","High school diploma or equivalent","Female",1,"Married",0,"No",0,0,40,"California",52211,"Private employer","Full-time"
17,20,"Building And Grounds Cleaning And Maintenance","White","High school diploma or equivalent","Male",1,"Single",0,"No",1,1,25,"California",12600,"Private employer","Part-time"
15,53,"Farming, Fishing, And Forestry","Native American","High school or less","Female",1,"Widowed",0,"No",0,0,40,"California",13700,"Private employer","Full-time"
22,28,"Production","Native American","High school diploma or equivalent","Female",1,"Single",0,"No",0,0,40,"California",9000,"Private employer","Full-time"
15,28,"Farming, Fishing, And Forestry","Native American","High school diploma or equivalent","Male",1,"Single",0,"No",0,0,40,"California",25000,"Private employer","Part-time"
23.5,27,"Legal","White","Bachelor's degree","Male",0,"Single",0,"No",1,1,40,"California",47841,"Private employer","Full-time"
21.3,27,"Transportation And Material Moving","White","Associate's degree","Male",1,"Single",0,"No",1,1,40,"California",47001,"Private employer","Full-time"
15,49,"Office And Administrative Support","White","High school diploma or equivalent","Female",1,"Single",0,"No",0,0,40,"California",21010,"Private employer","Full-time"
16,19,"Sales And Related","White","High school diploma or equivalent","Female",1,"Single",0,"No",1,1,30,"California",26440,"Private employer","Part-time"
30,59,"Installation, Maintenance, And Repair","White","High school diploma or equivalent","Male",1,"Married",0,"No",1,1,40,"California",86003,"Private employer","Full-time"
28.2,60,"Management, Business, Science, And Arts","Black","Some college, no degree","Female",0,"Married",0,"No",0,1,40,"California",47001,"Private employer","Full-time"
17,39,"Healthcare Support","White","High school diploma or equivalent","Female",0,"Single",0,"No",1,1,40,"California",30000,"Government employee","Full-time"
25,39,"Office And Administrative Support","Black","High school diploma or equivalent","Male",0,"Single",0,"No",1,1,40,"California",106221,"Private employer","Full-time"
72.12,28,"Healthcare Practitioners And Technical","Asian or Pacific Islander","Bachelor's degree","Female",0,"Single",0,"Yes",0,1,40,"California",65506,"Private employer","Full-time"
16.5,80,"Building And Grounds Cleaning And Maintenance","Asian or Pacific Islander","High school or less","Female",0,"Married",0,"No",1,1,40,"California",40900,"Government employee","Full-time"
15,18,"Sales And Related","White","Some college, no degree","Female",1,"Single",0,"No",0,1,39,"California",28962,"Private employer","Part-time"
15,43,"Farming, Fishing, And Forestry","White","High school or less","Male",1,"Married",0,"No",0,0,40,"California",24000,"Private employer","Full-time"
15,41,"Farming, Fishing, And Forestry","White","High school or less","Female",1,"Married",0,"No",0,0,40,"California",24000,"Private employer","Full-time"
15,35,"Farming, Fishing, And Forestry","White","High school or less","Male",1,"Married",0,"No",1,0,40,"California",15000,"Private employer","Full-time"
12,33,"Arts, Design, Entertainment, Sports, And Media","White","High school or less","Female",1,"Married",0,"No",0,1,40,"California",8400,"Government employee","Full-time"
15,47,"Farming, Fishing, And Forestry","White","High school or less","Female",1,"Married",0,"No",0,0,40,"California",11000,"Private employer","Full-time"
13,55,"Farming, Fishing, And Forestry","White","High school or less","Male",1,"Married",0,"No",0,0,35,"California",15000,"Private employer","Full-time"
12,22,"Farming, Fishing, And Forestry","White","High school diploma or equivalent","Male",1,"Single",0,"No",0,1,35,"California",15000,"Private employer","Full-time"
16,20,NA,"White","High school diploma or equivalent","Female",1,"Single",0,"No",NA,1,30,"California",0,"Private employer","Part-time"
16,46,"Office And Administrative Support","White","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,2,"California",29000,"Private employer","Part-time"
13,61,"Farming, Fishing, And Forestry","White","High school or less","Male",1,"Married",0,"No",0,1,35,"California",4500,"Private employer","Full-time"
13.5,41,"Farming, Fishing, And Forestry","White","High school or less","Female",1,"Single",0,"No",0,1,35,"California",8000,"Private employer","Full-time"
21.5,32,"Building And Grounds Cleaning And Maintenance","White","High school diploma or equivalent","Male",1,"Single",0,"No",1,1,40,"California",35001,"Government employee","Full-time"
20.55,49,"Office And Administrative Support","White","High school diploma or equivalent","Female",0,"Married",0,"No",0,1,60,"Colorado",20100,"Private employer","Full-time"
15,24,"Sales And Related","White","High school diploma or equivalent","Female",1,"Single",0,"No",1,1,40,"Colorado",22000,"Private employer","Full-time"
15,63,"Farming, Fishing, And Forestry","White","High school or less","Male",1,"Married",0,"No",0,0,40,"Colorado",37000,"Private employer","Full-time"
15,60,"Production","White","High school or less","Female",1,"Married",0,"No",1,0,35,"Colorado",18000,"Private employer","Full-time"
16,46,"Office And Administrative Support","White","Associate's degree","Female",0,"Married",0,"No",1,1,40,"Colorado",49000,"Government employee","Full-time"
20,33,"Installation, Maintenance, And Repair","White","Associate's degree","Male",0,"Married",0,"No",1,1,40,"Colorado",55000,"Private employer","Full-time"
15,23,"Sales And Related","White","Some college, no degree","Male",0,"Single",0,"No",0,1,25,"Colorado",20002,"Private employer","Part-time"
40,36,"Healthcare Practitioners And Technical","White","Bachelor's degree","Male",0,"Married",0,"No",1,1,40,"Colorado",67601,"Private employer","Full-time"
20,36,"Healthcare Practitioners And Technical","White","Associate's degree","Female",0,"Married",0,"No",1,1,40,"Colorado",54309,"Private employer","Full-time"
31.5,38,"Construction","White","High school diploma or equivalent","Male",1,"Married",0,"No",1,1,40,"Colorado",91060,"Private employer","Full-time"
15.1,59,"Healthcare Support","White","Associate's degree","Female",0,"Single",0,"No",0,1,38,"Colorado",26000,"Private employer","Part-time"
10,67,"Sales And Related","White","High school diploma or equivalent","Male",0,"Married",0,"No",1,1,16,"Colorado",25803,"Private employer","Part-time"
26,36,"Healthcare Practitioners And Technical","White","Associate's degree","Female",0,"Divorced",0,"No",0,1,36,"Colorado",50011,"Private employer","Full-time"
17,60,"Farming, Fishing, And Forestry","White","Bachelor's degree","Female",0,"Single",0,"No",0,1,40,"Colorado",30000,"Private employer","Full-time"
14.75,61,"Personal Care And Service","White","High school diploma or equivalent","Female",1,"Married",0,"No",0,1,40,"Colorado",24018,"Private employer","Full-time"
40,38,"Transportation And Material Moving","White","High school diploma or equivalent","Male",0,"Married",0,"No",1,1,NA,"Colorado",50011,"Private employer","Full-time"
